match_id,total_wards,undefined_count,undefined_ratio
JP1_555621265,192,43,0.22395833333333334
JP1_555639648,58,0,0.0
JP1_555644427,98,0,0.0
JP1_555650841,66,0,0.0
JP1_555658734,72,12,0.16666666666666666
JP1_555675575,76,2,0.02631578947368421
JP1_555685439,145,80,0.5517241379310345
JP1_555689813,108,0,0.0
JP1_555696773,87,0,0.0
JP1_555711124,134,0,0.0
